Product type        SKU        Price        Availability        Number of products sold        Revenue generated        Customer demographics        Stock levels        Lead times        Order quantities        Shipping times        Shipping carriers        Shipping costs        Supplier name
haircare        SKU0        69.8080055421158        55        802        8661.99679239238        Non-binary        58        7        96        4        Carrier B        2.95657213943081        Supplier 3
skincare        SKU1        14.8435232750843        95        736        7460.90006544585        Female        53        30        37        2        Carrier A        9.71657477143131        Supplier 3
haircare        SKU2        11.3196832930906        34        8        9577.74962586873        Unknown        1        10        88        2        Carrier B        8.05447926173216        Supplier 1
skincare        SKU3        61.1633430164377        68        83        7766.83642568523        Non-binary        23        13        59        6        Carrier C        1.72956856354343        Supplier 5
skincare        SKU4        4.80549603634589        26        871        2686.50515156745        Non-binary        5        3        56        8        Carrier A        3.89054791587067        Supplier 1
haircare        SKU5        1.69997601386594        87        147        2828.34874597576        Non-binary        90        27        66        3        Carrier B        4.44409886438229        Supplier 4
skincare        SKU6        4.07833286310795        48        65        7823.47655953174        Male        11        15        58        8        Carrier C        3.880763302952        Supplier 3
cosmetics        SKU7        42.9583843824601        59        426        8496.10381308984        Female        93        17        11        1        Carrier B        2.34833878441778        Supplier 4
cosmetics        SKU8        68.7175967485273        78        150        7517.36321063113        Female        5        10        15        7        Carrier C        3.40473385708303        Supplier 4
skincare        SKU9        64.0157329412785        35        980        4971.14598758556        Unknown        14        27        83        1        Carrier A        7.16664529104822        Supplier 2
skincare        SKU10        15.7077956819121        11        996        2330.96580209195        Non-binary        51        13        80        2        Carrier C        8.67321121127861        Supplier 5
skincare        SKU11        90.6354599822887        95        960        6099.94411558145        Female        46        23        60        1        Carrier A        4.52394312431666        Supplier 2
haircare        SKU12        71.2133890753601        41        336        2873.74144602144        Unknown        100        30        85        4        Carrier A        1.32527401018452        Supplier 4
skincare        SKU13        16.16039331738        5        249        4052.73841623787        Male        80        8        48        9        Carrier A        9.53728306110834        Supplier 5
skincare        SKU14        99.1713286386242        26        562        8653.5709264698        Non-binary        54        29        78        5        Carrier B        2.03977018944933        Supplier 1
skincare        SKU15        36.9892449286269        94        469        5442.08678539767        Non-binary        9        8        69        7        Carrier B        2.4220397232752        Supplier 1
skincare        SKU16        7.54717210979127        74        280        6453.79796817629        Female        2        5        78        1        Carrier B        4.1913245857055        Supplier 1
cosmetics        SKU17        81.462534369237        82        126        2629.39643484526        Female        45        17        85        9        Carrier C        3.58541895823234        Supplier 1
haircare        SKU18        36.4436277704609        23        620        9364.67350507617        Unknown        10        10        46        8        Carrier C        4.33922471411071        Supplier 2
skincare        SKU19        51.1238700879647        100        187        2553.49558499121        Unknown        48        11        94        3        Carrier A        4.74263588284188        Supplier 4
skincare        SKU20        96.3410724399634        22        320        8128.02769685119        Unknown        27        12        68        6        Carrier A        8.87833465092684        Supplier 1
cosmetics        SKU21        84.8938689849508        60        601        7087.05269635744        Unknown        69        25        7        6        Carrier B        6.0378837692183        Supplier 5
haircare        SKU22        27.679780886502        55        884        2390.80786655617        Unknown        71        1        63        10        Carrier A        9.56764892092304        Supplier 4
cosmetics        SKU23        4.32434118586416        30        391        8858.36757101148        Unknown        84        5        29        7        Carrier A        2.92485760114555        Supplier 5
haircare        SKU24        4.15630835931111        32        209        9049.0778609399        Male        4        26        2        8        Carrier C        9.74129168928437        Supplier 2
haircare        SKU25        39.6293439850926        73        142        2174.77705435065        Male        82        11        52        3        Carrier C        2.23107368128173        Supplier 4
haircare        SKU26        97.4469466178928        9        353        3716.49332589404        Male        59        16        48        4        Carrier B        6.50754862107855        Supplier 2
cosmetics        SKU27        92.557360812402        42        352        2686.45722357598        Unknown        47        9        62        8        Carrier C        7.40675095299807        Supplier 5
cosmetics        SKU28        2.39727470559714        12        394        6117.32461508399        Female        48        15        24        4        Carrier B        9.89814050806922        Supplier 1
cosmetics        SKU29        63.4475591852073        3        253        8318.90319461718        Female        45        5        67        7        Carrier B        8.10097314539703        Supplier 1
haircare        SKU30        8.02285921052639        10        327        2766.34236686609        Male        60        26        35        7        Carrier B        8.95452831531802        Supplier 4
skincare        SKU31        50.8473930517187        28        168        9655.1351027194        Male        6        17        44        4        Carrier B        2.67966096498141        Supplier 3
skincare        SKU32        79.2099360156567        43        781        9571.55048732782        Unknown        89        13        64        4        Carrier C        6.59910490123858        Supplier 3
cosmetics        SKU33        64.7954350001556        63        616        5149.99835040804        Non-binary        4        17        95        9        Carrier C        4.85827050343664        Supplier 5
skincare        SKU34        37.4675923298425        96        602        9061.71089550772        Unknown        1        26        21        7        Carrier A        1.01948757082212        Supplier 1
cosmetics        SKU35        84.9577868163504        11        449        6541.32934480247        Female        42        27        85        8        Carrier C        5.28818999032741        Supplier 1
skincare        SKU36        9.81300257875405        34        963        7573.40245784873        Female        18        23        28        3        Carrier B        2.10795126715908        Supplier 2
skincare        SKU37        23.3998447526143        5        963        2438.33993047003        Female        25        8        21        9        Carrier A        1.53265527359043        Supplier 3
cosmetics        SKU38        52.0759306827078        75        705        9692.31804021843        Non-binary        69        1        88        5        Carrier B        9.23593143724923        Supplier 5
skincare        SKU39        19.1274772658233        26        176        1912.46566310076        Female        78        29        34        3        Carrier A        5.56250377883038        Supplier 2
skincare        SKU40        80.5414241709403        97        933        5724.95935045627        Female        90        20        39        8        Carrier C        7.22959513973647        Supplier 1
skincare        SKU41        99.1132916153172        35        556        5521.20525901097        Female        64        19        38        8        Carrier B        5.77326374376665        Supplier 4
skincare        SKU42        46.5291676145168        98        155        1839.60942585676        Female        22        27        57        4        Carrier C        7.52624832685151        Supplier 5
haircare        SKU43        11.7432717763092        6        598        5737.42559911902        Unknown        36        29        85        9        Carrier B        3.69402126838845        Supplier 5
cosmetics        SKU44        51.3557909131104        34        919        7152.28604943551        Female        13        19        72        6        Carrier C        7.57744965737669        Supplier 2
haircare        SKU45        33.7841380330655        1        24        5267.95680751052        Male        93        7        52        6        Carrier B        5.21515500871191        Supplier 2
haircare        SKU46        27.0822071998889        75        859        2556.7673606336        Non-binary        92        29        6        8        Carrier B        4.07095583708408        Supplier 3
skincare        SKU47        95.7121358809361        93        910        7089.47424993419        Male        4        15        51        9        Carrier B        8.97875075594997        Supplier 1
haircare        SKU48        76.0355444268917        28        29        7397.07100458718        Non-binary        30        16        9        3        Carrier C        7.09583315655514        Supplier 2
cosmetics        SKU49        78.89791320564        19        99        8001.613206519        Unknown        97        24        9        6        Carrier C        2.50562103290092        Supplier 5
cosmetics        SKU50        14.203484264803        91        633        5910.8853896689        Female        31        23        82        10        Carrier A        6.24786091497599        Supplier 2
haircare        SKU51        26.7007609724617        61        154        9866.4654579797        Male        100        4        52        1        Carrier A        4.78300055794767        Supplier 5
skincare        SKU52        98.0318296564651        1        820        9435.76260891213        Male        64        11        11        1        Carrier B        8.63105217976895        Supplier 1
skincare        SKU53        30.3414707112142        93        242        8232.33482942582        Male        96        25        54        3        Carrier B        1.0134865660959        Supplier 1
haircare        SKU54        31.1462431602409        11        622        6088.02147994086        Non-binary        33        22        61        3        Carrier B        4.30510347128764        Supplier 1
haircare        SKU55        79.8550583407894        16        701        2925.67517030381        Male        97        11        11        5        Carrier A        5.01436495503091        Supplier 2
skincare        SKU56        20.9863860370434        90        93        4767.02048434414        Non-binary        25        23        83        5        Carrier C        1.77442971407174        Supplier 1
haircare        SKU57        49.2632053507342        65        227        1605.86690039241        Unknown        5        18        51        1        Carrier B        9.16055853538187        Supplier 2
skincare        SKU58        59.8415613772893        81        896        2021.14981033711        Non-binary        10        5        44        7        Carrier A        4.93843856471209        Supplier 3
cosmetics        SKU59        63.828398347711        30        484        1061.61852301329        Non-binary        100        16        26        7        Carrier B        7.29372259686773        Supplier 1
skincare        SKU60        17.0280279201887        16        380        8864.08434958644        Female        41        27        72        8        Carrier C        4.38136815810231        Supplier 4
haircare        SKU61        52.0287499032949        23        117        6885.58935089625        Unknown        32        23        36        7        Carrier C        9.03034042252195        Supplier 4
cosmetics        SKU62        72.7963539555874        89        270        3899.74683372922        Unknown        86        2        40        7        Carrier C        7.29170138877678        Supplier 2
skincare        SKU63        13.0173767852879        55        246        4256.94914085023        Non-binary        54        19        10        4        Carrier A        2.45793352798733        Supplier 3
skincare        SKU64        89.6340956081353        11        134        8458.73087836718        Female        73        27        75        6        Carrier C        4.58535346819465        Supplier 1
skincare        SKU65        33.6977172066431        72        457        8354.57968648199        Male        57        24        54        8        Carrier C        6.5805413478846        Supplier 5
skincare        SKU66        26.0348697739621        52        704        8367.72161802015        Female        13        17        19        8        Carrier A        2.21614272877136        Supplier 5
skincare        SKU67        87.7554323540011        16        513        9473.79803250834        Unknown        12        9        71        9        Carrier C        9.14781154471063        Supplier 1
haircare        SKU68        37.9318123827903        29        163        3550.21843278099        Non-binary        0        8        58        8        Carrier B        1.194251864885        Supplier 2
skincare        SKU69        54.8655285170698        62        511        1752.38108748412        Non-binary        95        1        27        3        Carrier B        9.70528679012035        Supplier 4
haircare        SKU70        47.9145418240588        90        32        7014.88798720339        Female        10        12        22        4        Carrier B        6.31571775460072        Supplier 1
cosmetics        SKU71        6.38153316274797        14        637        8180.33708542544        Female        76        2        26        6        Carrier A        9.22819031705252        Supplier 2
cosmetics        SKU72        90.2044275205281        88        478        2633.12198131226        Non-binary        57        29        77        9        Carrier A        6.59961415968954        Supplier 1
cosmetics        SKU73        83.8510176813046        41        375        7910.88691614069        Male        17        25        66        5        Carrier B        1.51293683691608        Supplier 4
haircare        SKU74        3.17001141356615        64        904        5709.94529596929        Female        41        6        1        5        Carrier A        5.23765465003745        Supplier 4
skincare        SKU75        92.9968842339707        29        106        1889.07358977933        Non-binary        16        20        56        10        Carrier C        2.47389776104546        Supplier 1
haircare        SKU76        69.1087995474303        23        241        5328.37598429776        Male        38        1        22        10        Carrier A        7.05453833683693        Supplier 2
haircare        SKU77        57.4497429589715        14        359        2483.76017754279        Unknown        96        28        57        4        Carrier B        6.7809466256179        Supplier 1
haircare        SKU78        6.30688317611192        50        946        1292.45841793776        Unknown        5        4        51        5        Carrier B        8.46704977086199        Supplier 5
haircare        SKU79        57.0570312211032        56        198        7888.72326842708        Non-binary        31        25        20        1        Carrier B        6.49632536429504        Supplier 3
skincare        SKU80        91.1283183504443        75        872        8651.67268298207        Unknown        39        14        41        2        Carrier C        2.83318467941897        Supplier 3
haircare        SKU81        72.8192069303182        9        774        4384.41340004586        Unknown        48        6        8        5        Carrier B        4.06627750151204        Supplier 3
skincare        SKU82        17.0349307394679        13        336        2943.38186760945        Unknown        42        19        72        1        Carrier A        4.70818187354193        Supplier 2
haircare        SKU83        68.9112462116063        82        663        2411.75463211049        Unknown        65        24        7        8        Carrier B        4.94983957799695        Supplier 1
haircare        SKU84        89.1043672921023        99        618        2048.29009984871        Unknown        73        26        80        10        Carrier A        8.38161562492263        Supplier 5
cosmetics        SKU85        76.9629944151939        83        25        8684.61305925386        Female        15        18        66        2        Carrier C        8.24916870487173        Supplier 5
skincare        SKU86        19.9981769404042        18        223        1229.59102856498        Unknown        32        14        22        6        Carrier B        1.45430531015355        Supplier 1
haircare        SKU87        80.4140366503557        24        79        5133.84670108669        Male        5        7        55        10        Carrier A        6.57580379754854        Supplier 3
cosmetics        SKU88        75.270406975725        58        737        9444.74203306298        Male        60        18        85        7        Carrier A        3.80125313293108        Supplier 2
cosmetics        SKU89        97.7600855819387        10        134        5924.68256685323        Unknown        90        1        27        8        Carrier B        9.92981624527726        Supplier 1
skincare        SKU90        13.8819135013591        56        320        9592.63357028031        Non-binary        66        18        96        7        Carrier B        7.67443070811269        Supplier 3
cosmetics        SKU91        62.1119654639618        90        916        1935.2067935076        Male        98        22        85        7        Carrier B        7.47151408440115        Supplier 4
cosmetics        SKU92        47.7142330758202        44        276        2100.12975462594        Male        90        25        10        8        Carrier B        4.4695000261236        Supplier 2
haircare        SKU93        69.2908310029055        88        114        4531.40213369191        Unknown        63        17        66        1        Carrier C        7.00643205900439        Supplier 4
cosmetics        SKU94        3.03768872463141        97        987        7888.35654666187        Unknown        77        26        72        9        Carrier B        6.94294594203258        Supplier 2
haircare        SKU95        77.9039272194478        65        672        7386.36394404866        Unknown        15        14        26        9        Carrier B        8.63033886960275        Supplier 4
cosmetics        SKU96        24.4231314203734        29        324        7698.42476563212        Non-binary        67        2        32        3        Carrier C        5.35287804399681        Supplier 3
haircare        SKU97        3.52611125914342        56        62        4370.91657998454        Male        46        19        4        9        Carrier A        7.90484561120968        Supplier 4
skincare        SKU98        19.7546048668786        43        913        8525.95255968353        Female        53        1        27        7        Carrier B        1.40980109513807        Supplier 5
haircare        SKU99        68.5178326992766        17        627        9185.1858291817        Unknown        55        8        59        6        Carrier B        1.31102375612062        Supplier 2
